id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,State
AVwdOuumByjofQCxm4xE,2015-10-24T00:16:40Z,2019-04-25T10:12:25Z,133 Browns Way Rd,"Pizza,Restaurant,Pizza Place Midlothian,Pizza Place,Restaurants,Italian Restaurants",Accommodation & Food Services,Midlothian,US,us/va/midlothian/133brownswayrd/89276803,37.501901,-77.638267,http://www.citysearch.com/profile/menu/44129236?singlePlatformId=a-new-york-slice,2.15,2.15,USD,"2018-01-19T21:20:22.086Z,2018-01-19T10:51:43.248Z,2018-01-19T04:07:48.701Z,2018-01-18T14:59:35.442Z,2018-01-12T13:19:46.621Z,2017-12-17T08:07:00.000Z,2016-04-01T06:45:00.000Z",,Cheese Pizza,A New York Slice,23114,USD,0,25,VA
AVwcptwJIN2L1WUfnYma,2016-04-02T05:34:14Z,2019-04-25T10:05:05Z,5211 5th Ave,"Cheesesteaks,Pizza,Restaurant,Italian,Pizza Place",Accommodation & Food Services,Brooklyn,US,us/ny/brooklyn/52115thave/173603987,40.6437,-74.01174,http://www.menupages.com/restaurants/royal-kings-pizza/menu,14,14,USD,"2018-05-07T10:10:40.420Z,2018-05-26T11:58:40.511Z,2018-03-31T02:14:35.837Z",,Cheese Pizza,Royal Kings Pizza,11220,USD,0,25,NY
AVwcptwJIN2L1WUfnYma,2016-04-02T05:34:14Z,2019-04-25T10:05:05Z,5211 5th Ave,"Cheesesteaks,Pizza,Restaurant,Italian,Pizza Place",Accommodation & Food Services,Brooklyn,US,us/ny/brooklyn/52115thave/173603987,40.6437,-74.01174,http://www.menupages.com/restaurants/royal-kings-pizza/menu,13,13,USD,"2018-01-20T17:16:00.022Z,2017-12-10T12:18:27.290Z,2016-04-02T05:34:14Z,2016-10-26T22:41:43Z",,Cheese Pizza,Royal Kings Pizza,11220,USD,0,25,NY
AVwchpG6ByjofQCxfM1R,2016-04-02T05:00:52Z,2019-04-23T09:39:43Z,5 S Dubuque St,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Iowa City,US,us/ia/iowacity/5sdubuquest/937374038,41.660914,-91.533046,http://www.citysearch.com/profile/menu/33704880?singlePlatformId=pizza-on-dubuque,7.5,7.5,USD,"2018-02-15T19:13:52.904Z,2018-01-31T06:25:00.782Z",,Cheese Pizza,Pizza On Dubuque,52240,USD,0,25,IA
AVwdJIVqkufWRAb52udn,2016-06-08T16:28:08Z,2019-04-22T09:49:14Z,1846 S 12th St,Pizza Place,Accommodation & Food Services,Philadelphia,US,us/pa/philadelphia/1846s12thst/516514185,39.926386,-75.165476,,7,7,USD,"2018-02-26T16:05:26.878Z,2018-01-21T08:14:16.992Z,2018-01-20T23:56:11.002Z,2018-01-22T20:11:11.712Z,2018-01-13T14:23:52.366Z,2017-12-17T23:26:31.555Z,2016-06-08T16:28:08Z,2016-06-08T16:28:16Z",,Cheese Pizza,Key Pizza,19148,USD,0,25,PA
AVwc7nchByjofQCxjwVO,2016-04-05T03:14:00Z,2019-04-20T06:25:02Z,110 N Main St,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Mount Pleasant,US,us/mi/mountpleasant/110nmainst/2024461158,43.604819,-84.776472,http://www.citysearch.com/profile/menu/5353052?singlePlatformId=pisanellos-pizza,6.27,6.27,USD,"2018-04-03T00:06:32.570Z,2018-02-07T04:49:13.636Z,2018-05-11T09:27:09.510Z",,Cheese Pizza,Pisanellos Pizza,48858,USD,0,25,MI
AVzsxs4MLD2H7whiX1yU,2017-06-28T03:37:50Z,2019-04-19T12:33:30Z,223 W Mill St,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Waterloo,US,us/il/waterloo/223wmillst/795778821,38.3358,-90.1531,http://www.citysearch.com/profile/menu/36842295?singlePlatformId=papa-vitos-pizza-2,6.99,6.99,USD,"2018-01-18T15:45:20.943Z,2018-01-19T18:06:45.785Z,2018-01-18T15:09:07.489Z",,Cheese Pizza,Papa Vito's Pizza,62298,USD,0,25,IL
AVzA3XZR-gnIPe8DSd1g,2017-06-19T14:59:18Z,2019-04-15T07:21:24Z,616 Amsterdam Ave,"Restaurant,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/616amsterdamave/14468463,40.79013,-73.973197,,7.5,7.5,USD,"2018-05-04T15:54:02.900Z,2018-02-10T08:00:40.264Z,2018-05-14T18:48:35.782Z,2018-05-26T16:58:39.817Z,2018-04-08T13:35:02.609Z",,Cheese Pizza,Famous Amadeus Pizza,10024,USD,0,25,NY
AVyoBb_Ml8hL2jjQySoP,2017-06-14T19:12:48Z,2019-04-15T07:09:13Z,575 Seneca Ave,"Pizza,Restaurant,Italian,Pizza Place,Restaurants",Accommodation & Food Services,Ridgewood,US,us/ny/ridgewood/575senecaave/-1205192948,40.704542,-73.910649,http://www.singlepage.com/carlos-pizza-4,11.75,11.75,USD,"2018-04-30T13:10:33.268Z,2018-02-10T07:55:41.418Z,2018-01-29T19:11:05.030Z,2018-05-13T02:33:21.306Z,2018-06-17T13:58:33.408Z",,Cheese Pizza,Carlos Pizza,11385,USD,0,25,NY
AVzA-pVeFcQ3k02bBalo,2017-06-19T15:31:06Z,2019-04-15T07:09:13Z,289 W Main St,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,US,us/pa/leola/289wmainst/1100633463,40.085942,-76.20824,,8.95,8.95,USD,"2018-02-26T12:33:14.305Z,2018-01-20T18:03:43.538Z,2018-01-27T18:10:19.899Z,2018-01-19T08:14:35.160Z,2018-01-11T14:25:13.286Z,2017-12-16T15:36:16.897Z,2017-12-07T16:35:02.536Z,2017-10-22T02:52:41.107Z,2017-10-26T10:20:28.242Z",,Cheese Pizza,Rosarios Pronto Pizza Italian Restaurant,17540,USD,0,25,PA
